,,,,,销售收款明细表,,,,
编制单位:fengchao   起始日期：2018-04-01 终止日期：2019-01-24   数据过滤条件:        ,,,,,,,,,
收款类型,开单日期,单据编号,收款方式,收款帐户,票号,预收金额,应收金额,折扣金额,实收金额
预收款,2018-8-12,XS-000-2018-08-12-0010,转账,农村商业银行,,3740, , ,3740
预收款,2018-9-11,XS-000-2018-09-11-0002,转账,农业银行,,900, , ,900
预收款,2018-10-9,XS-000-2018-10-09-0005,转账,农业银行,,960, , ,960
预收款,2018-10-23,XS-000-2018-10-23-0009,转账,农业银行,,580, , ,580
预收款,2018-11-5,XS-000-2018-11-05-0001,转账,农村商业银行,,480, , ,480
预收款,2018-12-17,XS-000-2018-12-17-0007,转账,农村商业银行,,1610, , ,1610
预收款,2018-12-24,XS-000-2018-12-24-0009,转账,农业银行,,7800, , ,7800
预收款,2019-1-24,XS-000-2019-01-24-0007,转账,农业银行,,3000, , ,3000
,,,,,,,,,
零散销售,,10005,,,,,,,
预收款,2018-5-7,XS-000-2018-05-07-0006,转账,农村商业银行,,890, , ,890
预收款,2018-5-7,XS-000-2018-05-07-0013,转账,农村商业银行,,1500, , ,1500
预收款,2018-5-9,XS-000-2018-05-09-0002,转账,农村商业银行,,650, , ,650
预收款,2018-5-10,XS-000-2018-05-10-0001,转账,农村商业银行,,1530, , ,1530
预收款,2018-5-10,XS-000-2018-05-10-0002,转账,农业银行,,3400, , ,3400
预收款,2018-5-21,XS-000-2018-05-21-0001,转账,农村商业银行,,1176, , ,1176
预收款,2018-5-21,XS-000-2018-05-21-0003,转账,农村商业银行,,2390, , ,2390
预收款,2018-5-22,XS-000-2018-05-22-0001,转账,农业银行,,200, , ,200
预收款,2018-6-2,XS-000-2018-06-02-0005,转账,农村商业银行,,2500, , ,2500
预收款,2018-6-4,XS-000-2018-06-04-0003,转账,农村商业银行,,1610, , ,1610
预收款,2018-6-6,XS-000-2018-06-06-0002,转账,三峡银行,,2070, , ,2070
预收款,2018-6-10,XS-000-2018-06-10-0002,转账,农业银行,,4000, , ,4000
预收款,2018-6-12,XS-000-2018-06-12-0002,转账,农业银行,,910, , ,910
预收款,2018-6-13,XS-000-2018-06-13-0002,转账,农业银行,,3800, , ,3800
预收款,2018-6-13,XS-000-2018-06-13-0003,转账,农业银行,,2580, , ,2580
预收款,2018-6-15,XS-000-2018-06-15-0001,转账,农业银行,,1150, , ,1150
预收款,2018-6-15,XS-000-2018-06-15-0003,转账,农村商业银行,,2200, , ,2200
预收款,2018-6-19,XS-000-2018-06-19-0003,转账,农业银行,,1600, , ,1600
预收款,2018-6-19,XS-000-2018-06-19-0004,转账,农业银行,,1000, , ,1000
预收款,2018-6-20,XS-000-2018-06-20-0001,转账,农业银行,,1050, , ,1050
预收款,2018-6-21,XS-000-2018-06-21-0002,转账,农业银行,,2550, , ,2550
预收款,2018-6-24,XS-000-2018-06-24-0006,转账,农业银行,,1000, , ,1000
预收款,2018-6-26,XS-000-2018-06-26-0001,转账,农业银行,,800, , ,800
预收款,2018-6-27,XS-000-2018-06-27-0002,转账,农村商业银行,,1050, , ,1050
